"age"
"gender"
"sex"
"women"
"woman"
"female"
"men"
"man"
"male"
"group"
"patient"
"patients"
"participant"
"participants"
"location"
"geolocation"
"geographical"
"geographic"
"region"
"country"
"countries"
"national"
"nation"
"city"
"cities"
"area"
"areas"
"hospital"
"hospitals"
"clinic"
"clinics"
"center"
"centers"
"facility"
"facilities"
"institution"
"institutions"
"organization"
"organizations"
"society"
"societies"
"community"
"communities"
"population"
"demographic"
"demographics"
"characteristic"
"characteristics"
