keyword
age
gender
sex
women
woman
female
male
geolocation
geographical
geographic
country
countries
city
cities
hospital
hospitals
clinic
clinics
society
societies
etnicity
etnicities
race
bias
biases
fair
unfair
fairness
transparency
imbalance
imbalanced
balance
balanced
problem
problems
issue
issues
challenge
challenges
difficulty
difficulties
critic
critics
criticism
criticize
criticized
criticizing
critique
critiques
critiqued
critiquing
