"cancer"
"tumor"
"tumour"
"malignant"
"benign"
"metastasis"
"metastatic"
"neoplasm"
"neoplastic"
"carcinoma"
"sarcoma"
"lymphoma"
"leukemia"
"melanoma"
"myeloma"
"adenoma"
"adenocarcinoma"
"glioma"
"glioblast"
